,Date,Home,Away,Home Team Win Probability
0,11/17/2017,Toronto Raptors,New York Knicks,0.6942728449538971
1,11/17/2017,Los Angeles Lakers,Phoenix Suns,0.6147959364552478
2,11/17/2017,Cleveland Cavaliers,LA Clippers,0.8138415186920137
3,11/17/2017,Indiana Pacers,Detroit Pistons,0.4116612614162839
4,11/17/2017,Washington Wizards,Miami Heat,0.70538353270959
5,11/17/2017,Sacramento Kings,Portland Trail Blazers,0.35253106887955726
6,11/17/2017,Brooklyn Nets,Utah Jazz,0.5902937097549982
7,11/17/2017,Dallas Mavericks,Minnesota Timberwolves,0.11641698892562898
8,11/17/2017,Chicago Bulls,Charlotte Hornets,0.5117081722504351
9,11/17/2017,San Antonio Spurs,Oklahoma City Thunder,0.7461634623760902
10,11/17/2017,Denver Nuggets,New Orleans Pelicans,0.6900164760714581
11,11/18/2017,Philadelphia 76ers,Golden State Warriors,0.3954151188161121
12,11/18/2017,Atlanta Hawks,Boston Celtics,0.08360642213486466
13,11/18/2017,Charlotte Hornets,LA Clippers,0.6222856443174963
14,11/18/2017,Memphis Grizzlies,Houston Rockets,0.24822290052027499
15,11/18/2017,Dallas Mavericks,Milwaukee Bucks,0.22719270841105665
16,11/18/2017,Orlando Magic,Utah Jazz,0.6732983109367399
17,11/18/2017,Portland Trail Blazers,Sacramento Kings,0.8348506690815122
18,11/19/2017,Brooklyn Nets,Golden State Warriors,0.20066456329120966
19,11/19/2017,Phoenix Suns,Chicago Bulls,0.7626213718315707
20,11/19/2017,Miami Heat,Indiana Pacers,0.5357115268960314
21,11/19/2017,Minnesota Timberwolves,Detroit Pistons,0.548579266838124
22,11/19/2017,Los Angeles Lakers,Denver Nuggets,0.4120739738293616
23,11/19/2017,Toronto Raptors,Washington Wizards,0.7103083624951645
24,11/20/2017,Dallas Mavericks,Boston Celtics,0.07134755927396665
25,11/20/2017,Detroit Pistons,Cleveland Cavaliers,0.6300967095453833
26,11/20/2017,New York Knicks,LA Clippers,0.8315329822556357
27,11/20/2017,Orlando Magic,Indiana Pacers,0.5342577474422667
28,11/20/2017,San Antonio Spurs,Atlanta Hawks,0.9049332806710083
29,11/20/2017,Memphis Grizzlies,Portland Trail Blazers,0.42968644991759486
30,11/20/2017,Philadelphia 76ers,Utah Jazz,0.7743653217397566
31,11/20/2017,Sacramento Kings,Denver Nuggets,0.23382086675306107
32,11/20/2017,Charlotte Hornets,Minnesota Timberwolves,0.37154905478508454
33,11/20/2017,Milwaukee Bucks,Washington Wizards,0.5094617788445502
34,11/20/2017,New Orleans Pelicans,Oklahoma City Thunder,0.7223486899155365
35,11/21/2017,Los Angeles Lakers,Chicago Bulls,0.8101769041261951
36,11/22/2017,Oklahoma City Thunder,Golden State Warriors,0.29175418026655153
37,11/22/2017,New Orleans Pelicans,San Antonio Spurs,0.5639376421876928
38,11/22/2017,Utah Jazz,Chicago Bulls,0.8066644820389096
39,11/22/2017,Cleveland Cavaliers,Brooklyn Nets,0.8417418151807704
40,11/22/2017,Sacramento Kings,Los Angeles Lakers,0.4392258526284769
41,11/22/2017,Miami Heat,Boston Celtics,0.26281264733136855
42,11/22/2017,Atlanta Hawks,LA Clippers,0.40315592458895605
43,11/22/2017,Philadelphia 76ers,Portland Trail Blazers,0.6814726748171047
44,11/22/2017,Phoenix Suns,Milwaukee Bucks,0.43061250923005673
45,11/22/2017,Memphis Grizzlies,Dallas Mavericks,0.7780966983478999
46,11/22/2017,Minnesota Timberwolves,Orlando Magic,0.759495430856965
47,11/22/2017,Houston Rockets,Denver Nuggets,0.7922552402318989
48,11/22/2017,Charlotte Hornets,Washington Wizards,0.45280018862326754
49,11/22/2017,New York Knicks,Toronto Raptors,0.5705346613805391
50,11/24/2017,Atlanta Hawks,New York Knicks,0.22561765887745514
51,11/24/2017,Golden State Warriors,Chicago Bulls,0.9459988951688584
52,11/24/2017,Oklahoma City Thunder,Detroit Pistons,0.3175237648087744
53,11/24/2017,Minnesota Timberwolves,Miami Heat,0.6651826586363945
54,11/24/2017,Brooklyn Nets,Portland Trail Blazers,0.3487832677510567
55,11/24/2017,Boston Celtics,Orlando Magic,0.8883157477131696
56,11/24/2017,Cleveland Cavaliers,Charlotte Hornets,0.8240577613622052
57,11/24/2017,Denver Nuggets,Memphis Grizzlies,0.8164352741063868
58,11/24/2017,Indiana Pacers,Toronto Raptors,0.5504453178235208
59,11/24/2017,Phoenix Suns,New Orleans Pelicans,0.3466785760579169
60,11/25/2017,Charlotte Hornets,San Antonio Spurs,0.32794932188137343
61,11/25/2017,Houston Rockets,New York Knicks,0.8088390394808311
62,11/25/2017,Indiana Pacers,Boston Celtics,0.30373910780948116
63,11/25/2017,Sacramento Kings,LA Clippers,0.4579224243027965
64,11/25/2017,Washington Wizards,Portland Trail Blazers,0.5292592015881017
65,11/25/2017,Utah Jazz,Milwaukee Bucks,0.5325857043664807
66,11/25/2017,Philadelphia 76ers,Orlando Magic,0.8033771025274975
67,11/25/2017,Atlanta Hawks,Toronto Raptors,0.20063572891773734
68,11/25/2017,Dallas Mavericks,Oklahoma City Thunder,0.4010580291327592
69,11/25/2017,Golden State Warriors,New Orleans Pelicans,0.7641522173090303
70,11/26/2017,Minnesota Timberwolves,Phoenix Suns,0.8170027952015929
71,11/26/2017,Memphis Grizzlies,Brooklyn Nets,0.5710812423118763
72,11/26/2017,Chicago Bulls,Miami Heat,0.22326353409005362
73,11/27/2017,Philadelphia 76ers,Cleveland Cavaliers,0.5304545424862377
74,11/27/2017,Golden State Warriors,Sacramento Kings,0.8954201637418782
75,11/27/2017,San Antonio Spurs,Dallas Mavericks,0.9043527902582288
76,11/27/2017,New York Knicks,Portland Trail Blazers,0.5335453715978269
77,11/27/2017,Boston Celtics,Detroit Pistons,0.6926488321439151
78,11/27/2017,Houston Rockets,Brooklyn Nets,0.9213052951405607
79,11/27/2017,LA Clippers,Los Angeles Lakers,0.6227080373112487
80,11/27/2017,Indiana Pacers,Orlando Magic,0.7615902272604513
81,11/28/2017,Chicago Bulls,Phoenix Suns,0.3450639067971052
82,11/28/2017,Cleveland Cavaliers,Miami Heat,0.7550688837939526
83,11/28/2017,Utah Jazz,Denver Nuggets,0.45757382766124555
84,11/28/2017,Sacramento Kings,Milwaukee Bucks,0.3574037551000164
85,11/28/2017,Minnesota Timberwolves,Washington Wizards,0.6354371432469403
86,11/29/2017,Philadelphia 76ers,Washington Wizards,0.7131114653015821
87,11/29/2017,San Antonio Spurs,Memphis Grizzlies,0.8515419390488275
88,11/29/2017,Los Angeles Lakers,Golden State Warriors,0.25210503672564455
