,Home,Away,Home Team Win Probability
0,Philadelphia 76ers,Utah Jazz,0.7067144919190201
1,Boston Celtics,Toronto Raptors,0.38101411836421223
2,Indiana Pacers,Miami Heat,0.7632287322726913
3,Milwaukee Bucks,Chicago Bulls,0.9162297753757525
4,Minnesota Timberwolves,Portland Trail Blazers,0.37128841168324966
5,Washington Wizards,Brooklyn Nets,0.48233278673947033
6,Memphis Grizzlies,Sacramento Kings,0.6982954685880639
7,New Orleans Pelicans,New York Knicks,0.8320219765851423
8,Chicago Bulls,Toronto Raptors,0.13574260790703663
9,Phoenix Suns,Oklahoma City Thunder,0.2004230046920403
10,Boston Celtics,Utah Jazz,0.6015024539920877
11,Brooklyn Nets,LA Clippers,0.3414840652656319
12,Houston Rockets,Sacramento Kings,0.6393067512977985
13,Orlando Magic,Los Angeles Lakers,0.534838162993943
14,Indiana Pacers,Atlanta Hawks,0.8908450956414324
15,Dallas Mavericks,Golden State Warriors,0.3614032213994176
16,Charlotte Hornets,Philadelphia 76ers,0.3991663732357122
17,New Orleans Pelicans,Denver Nuggets,0.5494867320439791
18,San Antonio Spurs,Golden State Warriors,0.41936106853838645
19,Orlando Magic,New York Knicks,0.8265856751002324
20,Miami Heat,Los Angeles Lakers,0.40297434336058174
21,Minnesota Timberwolves,Memphis Grizzlies,0.34551678841224887
22,Washington Wizards,Portland Trail Blazers,0.24626926735141183
23,Philadelphia 76ers,Phoenix Suns,0.8885088621858506
24,Detroit Pistons,Cleveland Cavaliers,0.8897583114688808
25,Atlanta Hawks,LA Clippers,0.17562948603764417
26,Indiana Pacers,Utah Jazz,0.731151231792543
27,Milwaukee Bucks,Denver Nuggets,0.7350765992761147
28,Sacramento Kings,Oklahoma City Thunder,0.51471282247485
29,Charlotte Hornets,Boston Celtics,0.582499755001673
30,Memphis Grizzlies,Dallas Mavericks,0.7851341261206571
31,New Orleans Pelicans,San Antonio Spurs,0.7101087143128694
32,New York Knicks,Portland Trail Blazers,0.1819830934426091
33,Orlando Magic,Toronto Raptors,0.31187315737866284
34,Miami Heat,Brooklyn Nets,0.5136573369927355
35,Washington Wizards,LA Clippers,0.3043138730867903
36,Philadelphia 76ers,New Orleans Pelicans,0.6964417044863913
37,Golden State Warriors,Oklahoma City Thunder,0.6012885886616198
38,San Antonio Spurs,Memphis Grizzlies,0.33528845790044387
39,Chicago Bulls,Phoenix Suns,0.6624215328699424
40,Boston Celtics,New York Knicks,0.7449410334370447
41,Cleveland Cavaliers,Los Angeles Lakers,0.1786609860547571
42,Houston Rockets,Detroit Pistons,0.6420118654462541
43,Atlanta Hawks,Toronto Raptors,0.11267300474116818
44,Utah Jazz,Sacramento Kings,0.49438949648538466
