,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,San Antonio Spurs,Oklahoma City Thunder,0.5589868271678599,1.7093966043852609,-0.33495571594245566,-0.6331048491344862,-0.09058120166290975,0.8709472949425614,-0.30541992677529217,1,11/17/2017
1,Los Angeles Lakers,Phoenix Suns,0.4863185396360382,0.691898625584511,1.563126674398121,1.2134509608410984,-0.38497010706735857,-2.5527765541419978,-0.19088745423455755,0,11/17/2017
2,Chicago Bulls,Charlotte Hornets,-1.2185912832259347,-0.6104987872804498,2.9029495381679395,-1.5475896312176332,-2.1965941403255274,-0.45048998014270547,-1.4507446521826375,1,11/17/2017
3,Brooklyn Nets,Utah Jazz,-0.24036433568217996,0.6104987872804499,-2.121386200968881,-0.2813799329486605,0.5887778108089037,1.2613719443995761,-0.15270996338764603,1,11/17/2017
4,Cleveland Cavaliers,LA Clippers,0.8273005042084329,-1.180297655408869,1.004867147827365,-0.562759865897321,0.29438890540445195,1.5016332671423516,0.9926147620196951,1,11/17/2017
5,Indiana Pacers,Detroit Pistons,-1.3806974631046138,-1.1395977362568388,-0.6699114318849113,-0.9848297653203117,-0.09058120166290662,1.531665932485201,0.5726623627036685,1,11/17/2017
6,Dallas Mavericks,Minnesota Timberwolves,-2.8508328185560856,-0.40699919152029995,-0.1116519053141512,-1.2837959440782634,-1.7210428315952595,-0.12013066137138984,-1.2216797071011685,0,11/17/2017
7,Sacramento Kings,Portland Trail Blazers,-1.99558297298926,-2.889694259794127,-0.4466076212566069,-3.4820766702396737,-2.0380770374154404,3.0332991996275487,-1.565277124723372,1,11/17/2017
8,Denver Nuggets,New Orleans Pelicans,0.21241499432378633,0.6511987064324805,-0.22330381062830246,0.21103494971149536,0.20380770374154533,-0.09009799602854024,-0.7635498169382261,1,11/17/2017
9,Washington Wizards,Miami Heat,1.1962318101392204,-0.3255993532162388,-1.563126674398121,1.2837959440782636,1.6531069303480788,0.06006533068569492,0.8780822894789606,0,11/17/2017
10,Toronto Raptors,New York Knicks,0.40247051556085955,-2.1570957150575882,-1.674778579712274,0.7386223239902338,0.49819660914599717,-0.5405879761712458,1.0689697437135184,1,11/17/2017
11,Philadelphia 76ers,Golden State Warriors,-0.9422724915239258,1.2181090214357815,1.2105121410595412,-2.0552519407024428,-2.0978834163909448,0.597399335669142,-2.5894290866217142,0,11/18/2017
12,Orlando Magic,Utah Jazz,0.9190065040788905,-0.12601127807956547,-1.870791490728387,0.7820870216832305,1.5085903218991092,0.5345151950723896,1.0985456731122398,0,11/18/2017
13,Portland Trail Blazers,Sacramento Kings,1.5471881650948407,2.856255636470108,0.6602793496688417,3.273852648906546,1.9328813499332327,-2.8612283971521966,1.4908834135094742,1,11/18/2017
14,Atlanta Hawks,Boston Celtics,-3.9261353813496895,-3.066274433269384,1.5406518158939633,-2.237132643419473,-0.14143034267804336,3.490069803119713,0.7846754807944601,0,11/18/2017
